file,block,tokens,subject,duration,nSFD,nFFD,nGD,nTT,PrF,Pr1,Pr2,PrS,length,wpm
41,5,,221,10850,,87.80233516483517,87.80233516483517,154.8375457875458,0.7647058823529411,0.38235294117647056,0.38235294117647056,0.23529411764705882,34,188.0184331797235
41,6,,221,11022,,55.8101911976912,56.01189574314574,111.36492604617605,0.8148148148148148,0.37037037037037035,0.4444444444444444,0.18518518518518517,27,146.97876973326075
41,7,,221,6533,,50.719523809523814,50.719523809523814,70.57291666666666,0.7142857142857143,0.39285714285714285,0.32142857142857145,0.2857142857142857,28,257.15597734578296
42,3,,221,10042,,55.53498168498169,56.20164835164835,99.9835927960928,0.8,0.36666666666666664,0.43333333333333335,0.2,30,179.24716191993627
42,2,,221,17890,,76.5706043956044,76.5706043956044,202.5119963369963,0.8125,0.21875,0.59375,0.1875,32,107.32252655114588
42,1,,221,1437,65.31575963718821,65.31575963718821,65.31575963718821,65.31575963718821,0.6363636363636364,0.6363636363636364,0.0,0.36363636363636365,11,459.2901878914405
42,4,,221,9359,,67.45254629629629,67.45254629629629,98.1430886243386,0.75,0.40625,0.34375,0.25,32,205.1501228763757
42,5,,221,11777,,92.09965986394559,92.09965986394559,130.57997448979592,0.875,0.40625,0.46875,0.125,32,163.02963403243612
42,6,,221,8554,,56.03250915750917,56.03250915750917,92.52545787545789,0.7647058823529411,0.4411764705882353,0.3235294117647059,0.23529411764705882,34,238.48491933598316
42,7,,221,5666,,58.278124999999996,58.278124999999996,88.73675595238095,0.5,0.25,0.25,0.5,32,338.863395693611
41,3,,226,11011,,56.70320512820513,57.214194139194134,126.56227106227107,0.7647058823529411,0.20588235294117646,0.5588235294117647,0.23529411764705882,34,185.2692761783671
41,1,,226,1712,,24.041666666666664,28.541666666666664,67.84722222222223,0.8,0.2,0.6,0.2,5,175.2336448598131
41,2,,226,12009,,41.02650945545682,42.09668489405331,145.44352168299537,0.76,0.12,0.64,0.24,25,124.90632025980514
41,4,,226,6372,,59.839021164021155,60.972354497354495,91.77328042328043,0.6206896551724138,0.3103448275862069,0.3103448275862069,0.3793103448275862,29,273.06967984934084
41,5,,226,11285,,71.90152380952381,71.90152380952381,131.06742857142856,0.7352941176470589,0.23529411764705882,0.5,0.2647058823529412,34,180.77093486929553
41,6,,226,6525,,55.88161375661375,56.341931216931215,87.63907627865962,0.6666666666666666,0.25925925925925924,0.4074074074074074,0.3333333333333333,27,248.27586206896547
41,7,,226,7692,,50.43872549019608,50.43872549019608,100.90651260504201,0.6071428571428571,0.2857142857142857,0.32142857142857145,0.39285714285714285,28,218.408736349454
42,4,,226,6580,,48.242316017316014,49.621103896103904,82.74015151515151,0.6875,0.3125,0.375,0.3125,32,291.7933130699088
42,2,,226,12672,,66.47142857142858,66.85142857142857,159.5672380952381,0.78125,0.25,0.53125,0.21875,32,151.5151515151515
42,3,,226,8642,,52.068018489447056,52.068018489447056,99.5079626722484,0.7,0.3333333333333333,0.36666666666666664,0.3,30,208.28511918537376
42,5,,226,7750,,50.49212962962963,50.49212962962963,125.66044973544973,0.5625,0.21875,0.34375,0.4375,32,247.74193548387098
42,6,,226,7978,,57.056646825396825,57.67123015873016,83.68174603174603,0.7058823529411765,0.38235294117647056,0.3235294117647059,0.29411764705882354,34,255.70318375532716
42,7,,226,9256,,57.61780538302277,59.38302277432712,106.27204968944099,0.71875,0.375,0.34375,0.28125,32,207.43301642178045
41,4,,230,9164,,52.277499999999996,52.948928571428574,111.7317857142857,0.6896551724137931,0.2413793103448276,0.4482758620689655,0.3103448275862069,29,189.873417721519
41,2,,230,13911,,42.076334776334775,42.67633477633478,146.86037157287157,0.8,0.04,0.76,0.2,25,107.82833728703903
41,1,,230,1061,,20.324074074074073,24.324074074074076,59.0,0.6,0.0,0.6,0.4,5,282.7521206409048
41,3,,230,10366,,59.938278388278384,59.938278388278384,120.56868131868131,0.7647058823529411,0.35294117647058826,0.4117647058823529,0.23529411764705882,34,196.79722168628209
41,5,,230,8192,,44.633163265306116,46.928401360544214,101.21490929705217,0.6176470588235294,0.20588235294117646,0.4117647058823529,0.38235294117647056,34,249.0234375
41,6,,230,7601,,67.31936885865458,67.31936885865458,111.55851284958428,0.7777777777777778,0.3333333333333333,0.4444444444444444,0.2222222222222222,27,213.12985133535062
41,7,,230,7403,,36.023558897243106,36.98145363408521,79.30093984962406,0.6785714285714286,0.25,0.42857142857142855,0.32142857142857145,28,226.9350263406727
42,2,,230,8513,,45.42758799171841,47.38410973084885,101.95186335403726,0.71875,0.1875,0.53125,0.28125,32,225.53741336779046
42,1,,230,1973,,40.30668934240363,46.18764172335601,63.29478458049886,0.6363636363636364,0.2727272727272727,0.36363636363636365,0.36363636363636365,11,334.5159655347187
42,3,,230,8567,,42.351195295932136,42.93014266435319,110.61229034123771,0.6333333333333333,0.2,0.43333333333333335,0.36666666666666664,30,210.1085560873118
42,4,,230,8985,,50.997101449275355,53.612698412698414,115.12339544513456,0.71875,0.28125,0.4375,0.28125,32,213.68948247078467
42,5,,230,6713,,53.77687969924811,56.92161654135337,103.21923558897242,0.59375,0.25,0.34375,0.40625,32,286.0122151050201
42,6,,230,9351,,45.014078674948244,45.720600414078675,105.37753623188406,0.6764705882352942,0.23529411764705882,0.4411764705882353,0.3235294117647059,34,218.158485723452
42,7,,230,11269,,48.23234126984127,48.23234126984127,124.98521825396824,0.75,0.21875,0.53125,0.25,32,170.37891560919334
41,2,,231,11349,,52.37539682539682,52.37539682539682,118.37731664470796,0.92,0.2,0.72,0.08,25,132.17023526301878
41,3,,231,13313,,73.76989795918368,76.67168367346939,168.03486394557822,0.8235294117647058,0.35294117647058826,0.47058823529411764,0.17647058823529413,34,153.2336813640802
41,4,,231,14836,,60.745376121463096,60.745376121463096,156.01708074534162,0.7931034482758621,0.13793103448275862,0.6551724137931034,0.20689655172413793,29,117.28228633054732
41,5,,231,13981,,64.68506944444444,66.63993055555555,162.578373015873,0.7058823529411765,0.11764705882352941,0.5882352941176471,0.29411764705882354,34,145.91230956297835
41,6,,231,9720,,53.60156746031746,53.60156746031746,105.52885912698412,0.7407407407407407,0.2222222222222222,0.5185185185185185,0.25925925925925924,27,166.66666666666666
41,7,,231,6183,,39.92079831932773,40.86932773109244,71.11743697478992,0.6071428571428571,0.21428571428571427,0.39285714285714285,0.39285714285714285,28,271.7127607957302
42,4,,231,8996,,52.06111111111112,53.888271604938275,93.05846560846561,0.84375,0.4375,0.40625,0.15625,32,213.428190306803
42,2,,231,12237,,76.55155993431856,76.55155993431856,126.5605500821018,0.90625,0.28125,0.625,0.09375,32,156.90120127482226
42,3,,231,9147,,50.2597547380156,50.2597547380156,93.40562987736902,0.7666666666666667,0.26666666666666666,0.5,0.23333333333333334,30,196.78583142013775
42,5,,231,10786,,65.15687830687831,65.15687830687831,112.56349206349205,0.84375,0.40625,0.4375,0.15625,32,178.00852957537552
42,6,,231,9078,,49.758699633699635,49.758699633699635,91.24652014652014,0.7647058823529411,0.29411764705882354,0.47058823529411764,0.23529411764705882,34,224.71910112359552
42,7,,231,3892,,42.764455782312915,44.035884353741494,69.76479591836735,0.4375,0.25,0.1875,0.5625,32,493.3196300102775
41,2,,234,10671,,51.07215991079629,52.54185688049325,113.84740587695131,0.88,0.36,0.52,0.12,25,140.5678942929435
41,3,,234,14471,,69.7874149659864,71.0374149659864,160.43860544217685,0.8235294117647058,0.3235294117647059,0.5,0.17647058823529413,34,140.9715983691521
41,4,,234,10464,,56.145238095238106,57.959523809523816,144.5595238095238,0.7241379310344828,0.06896551724137931,0.6551724137931034,0.27586206896551724,29,166.28440366972475
41,5,,234,11255,,63.310246598639466,66.8310799319728,130.79685374149662,0.8235294117647058,0.38235294117647056,0.4411764705882353,0.17647058823529413,34,181.2527765437583
41,6,,234,10582,,64.07026098901098,64.9805173992674,113.71035561660561,0.9629629629629629,0.37037037037037035,0.5925925925925926,0.037037037037037035,27,153.09015309015308
42,2,,234,9142,,53.88068181818182,53.88068181818182,98.39816017316019,0.6875,0.34375,0.34375,0.3125,32,210.01968934587617
42,3,,234,11846,,57.22399267399267,58.977780552780544,130.83155178155178,0.7333333333333333,0.16666666666666666,0.5666666666666667,0.26666666666666666,30,151.95002532500422
42,4,,234,10254,,54.524350649350644,54.524350649350644,124.64036796536799,0.6875,0.1875,0.5,0.3125,32,187.24400234055005
42,5,,234,15736,,65.0021978021978,65.0021978021978,181.1304029304029,0.8125,0.15625,0.65625,0.1875,32,122.01321809862735
42,6,,234,8022,,48.23311688311688,48.960389610389605,102.7453463203463,0.6470588235294118,0.17647058823529413,0.47058823529411764,0.35294117647058826,34,254.30067314884067
41,4,,240,10862,,66.61767676767677,66.61767676767677,151.1602813852814,0.7586206896551724,0.2413793103448276,0.5172413793103449,0.2413793103448276,29,160.19149327932243
41,2,,240,14660,,69.83233525733526,72.12400192400192,155.36238876863877,0.96,0.2,0.76,0.04,25,102.31923601637108
41,3,,240,13728,,80.53980952380952,82.85780952380952,163.8915238095238,0.7352941176470589,0.17647058823529413,0.5588235294117647,0.2647058823529412,34,148.6013986013986
41,5,,240,10787,,71.1355072463768,72.85289855072463,145.79347826086953,0.6764705882352942,0.38235294117647056,0.29411764705882354,0.3235294117647059,34,189.1165291554649
41,6,,240,8615,,77.39131944444445,77.39131944444445,141.24890873015875,0.5925925925925926,0.2222222222222222,0.37037037037037035,0.4074074074074074,27,188.04410911201393
41,7,,240,11709,,46.65327380952381,47.50327380952381,109.60214285714285,0.7142857142857143,0.21428571428571427,0.5,0.2857142857142857,28,143.47937483986675
42,4,,240,5385,,51.305396825396826,51.87539682539682,71.42944444444444,0.625,0.4375,0.1875,0.375,32,356.54596100278553
42,2,,240,20673,,74.96350574712643,77.68764367816092,216.36880131362892,0.90625,0.21875,0.6875,0.09375,32,92.87476418516907
42,3,,240,13384,,59.55599267399268,61.462659340659336,128.02060805860805,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.16666666666666666,30,134.48894202032275
